cas_number,chemical_id,name,substance,other_name,brand,package_size,storage_location,molecular_weight,density (g/mL),state
1041642-13-0,555,Potassium trifluoro(isopropyl)borate,异丙基三氟硼酸钾,,安耐吉,5g,R3,149.99,,solid
10416-59-8,556,"N,O-Bis(trimethylsilyl)acetamide","N,O-双(三甲基硅基)乙酰胺 (BSA)",,安耐吉,25ml,3-2,203.43,0.832,liquid
104-20-1,557,4-(4-Methoxyphenyl)-2-butanone,4-(4-甲氧苯基)-2-丁酮,,adamas,25g,2-3,178.23,1.046,liquid
104-45-0,558,4-N-PROPYLANISOLE,二氢大茴香脑,,adamas,5g,1-5-2,150.22,0.941,solid
104-51-8,559,Butylbenzene,丁苯,,adamas,5g,1-5-2,134.22,0.86,liquid
104-53-0,560,Phenylpropyl aldehyde,苯丙醛,,adamas;毕得,25g,4-3;R7,134.18,1.019,liquid
104-54-1,561,Cinnamyl Alcohol,肉桂醇,,adamas,100g,2-2,134.18,1.044,solid
104-55-2,562,Cinnamaldehyde,肉桂醛,,adamas,100g,4-3,132.16,1.05,liquid
10472-24-9,563,Methyl 2-cyclopentanonecarboxylate,2-甲氧羰基环戊酮,,adamas,100g,R8,142.15,1.145,solid
104-82-5,564,4-Methylbenzyl chloride,4-甲基氯苄,,adamas,100g,1-2-2,140.61,1.062,liquid
104-83-6,565,4-Chlorobenzyl chloride,4-氯氯苄,,adamas,100g,1-2-2,161.03,1.26,solid
10485-09-3,566,2-bromo-1H-indene,2-溴化茚,,adamas,5g,R9,195.06,1.57,solid
10486-00-7,567,Sodium perborate tetrahydrate,过硼酸钠四水合物,,adamas,100g,6-2,101.83,1.73,solid
104-87-0,568,p-Tolualdehyde,对甲基苯甲醛,,安耐吉,25g,4-3,120.15,1.019,liquid
104-92-7,569,1-bromo-4-methoxybenzene,对溴苯甲醚,,adamas,100g,1-3-4,187.03,1.494,liquid
10493-44-4,570,"4-Bromo-1,1,2-trifluorobutene-1","4-溴-1,1,2-三氟-1-丁烯",,adamas,5g,R3,188.97,1.639,liquid
104-94-9,571,p-Anisidine,对氨基苯甲醚,,安耐吉,25g,3-5,123.15,1.06,solid
10500-57-9,572,"5,6,7,8-Tetrahydroquinoline","5,6,7,8-四氢喹啉",,adamas,25g,4-2-2,133.19,1.08,liquid
10521-91-2,573,5-Phenyl-1-pentanol,苯戊醇,,adamas,5g,2-2,164.24,0.975,liquid
105-30-6,574,2-methyl-1-pentanol,2-甲基-1-戊醇,,安耐吉,25ml,2-2,102.17,0.824,liquid
105-34-0,575,Methyl cyanoacetate,氰乙酸甲酯,,adamas,100g,2-4,99.09,1.123,liquid
10534-59-5,576,Tetrabutylammonium acetate,四丁基乙酸铵,,adamas,100g,7-2,301.51,0.99,solid
10544-50-0,577,cyclic octaatomic sulfur,八硫杂环辛烷,,adamas,25g,3-3B,256.52,1.862,liquid
105-45-3,578,Methyl acetoacetate,乙酰乙酸甲酯,,adamas,100g,2-4,116.12,1.076,liquid
105-53-3,579,Diethyl malonate,丙二酸二乙酯,,安耐吉,100g,2-4,160.17,1.055,liquid
105-58-8,580,Diethyl carbonate,碳酸二乙酯(DEC),,adamas,100ml,2-4,118.13,0.975,liquid
10592-27-5,581,"2,3-DIHYDRO-1H-PYRROLO[2,3-B]PYRIDINE","2,3-二氢-7-氮杂吲哚",,adamas,5g,4-2-2,120.15,1.23,solid
10601-99-7,582,3-Ethynylbenzoic acid,3-乙炔基苯甲酸,,adamas,5g,3-2,146.14,1.23,solid
10602-00-3,583,4-Ethynylbenzoic acid,4-乙炔苯甲酸,,adamas,5g,3-2,146.14,1.23,solid
106-23-0,584,citronellal,香茅醛,,adamas,25ml,4-3,154.25,0.857,liquid
106-39-8,585,1-Bromo-4-chlorobenzene,对溴氯苯,,adamas,25g,1-2-1,191.45,1.651,solid
106-41-2,586,4-Bromophbenol,4-溴苯酚,,安耐吉,25g,4-3-2,173.01,1.84,solid
106-44-5,384,p-Cresol,对甲基苯酚,,adamas,25g,4-3-3,108.14,1.034,solid
106-45-6,587,p-Toluenethiol,4-甲苯硫酚,,adamas,5g,1-5c,124.2,1.022,solid
106-46-7,588,"1,4-Dichlorobenzene","1,4－二氯苯",,安耐吉,100g,1-2-1;1-3B,147.0,1.241,solid
106-47-8,589,4-Chloroaniline,对氯苯胺,,安耐吉,25g,1-2-1,127.57,1.43,solid
